id, label, lat, lon
0, Bogotá, 4.627017, -74.080932
1, Medellín, 6.213601, -75.577546
3, Cali, 3.446090, -76.541807
4, Barranquilla, 10.991854, -74.801170
5, Cartagena, 10.412851, -75.522570
6, Cúcuta, 7.889558, -72.497388
7, Bucaramanga, 7.121317, -73.116654
8, Villavicencio, 4.132873, -73.624958
9, Ibagué, 4.441075, -75.234123
10, Santa Marta, 11.232692, -74.199434
11, Montería, 8.751005, -75.878911
12, Valledupar, 10.469304, -73.256886
13, Pereira, 4.810278, -75.692092
14, Manizales, 5.067777, -75.516233
15, Pasto, 1.200097, -77.278891
16, Neiva, 2.929430, -75.287266
17, Popayán, 2.446305, -76.614333
18, Armenia, 4.534499, -75.675196
19, Sincelejo, 9.298004, -75.392851
20, Riohacha, 11.539398, -72.914721
21, Tunja, 5.536831, -73.361473
22, Florencia, 1.608706, -75.604828
23, Quibdó, 5.689923, -76.656429
